id_timeline	titulo	subtitulo	descricao	data_evento	data_publicacao	veiculo	referencia	pagina	midia
	Nacimento	Rio Surubiú	Nasceu em um barco no Rio Surubiú, na cidade de Alenquer e criado na cidade de Santarém, no Estado do Pará em 1942. Filho de Sebastião Carvalho Marcião e Maria Pena Marcião, terceiro filho de sete irmãos.	1942-04-16	1942-04-16	Editor	Familiares		
	Primeiros acordes	Contato com o violão	Seu pai era dono de uma venda que funcionava como armazém, armarinho e bar ao mesmo tempo, e ponto de encontro da boemia local. Então menino, gostava de ficar vendo o movimento, ouvindo as conversas e, principalmente assistindo os fregueses cantando serestas e tocando violão. Começou a tocar violão aos 9 anos de idade. Seu primeiro professor foi seu pai. Depois estudou com João Fona (João Batista Pereira Fona, 1901–1964, músico e artista plástico. Uma das figuras artísticas mais importantes da história de Santarém e do Pará).	1951-04-16	1951-01-01	Editor	Familiares		
	Primeiro professor	Estudou com o professor Drago em Belém	Foi para Belém onde estudou  com o professor Drago	1963-01-01	1963-01-01	Editor	Familiares		
	Estudo no Rio de Janeiro	Estudou técnica violonística com o professor Othon Saleiro no Rio de Janeiro	Em julho de 1963 veio para o Rio de Janeiro (Estado da Guanabara) quando foi aluno do professor Othon Salleiro fazendo um curso intensivo de técnica violonística	1963-07-01	1963-01-01	Editor	Familiares		
	Primeiro LP	"Lançamento do primeiro disco ""Apresentando: Sebastião Tapajós e seu conjunto"" pela CBS"	"Foi lançado pela CBS (Companhia Brasileira de Discos) o LP ""Apresentando: Sebastião Tapajós e seu conjunto"". Sebastião Tapajós fez sozinho todos os arranjos do disco, que traz o seguinte repertório: Acaramelado, Sonhar Contigo, Morena, Tudo de Mim, Noites de Moscou, Moonlight Serena, Onde Estava Eu, Nós e o Mar, Boa Noite da Vida, O Que Eu Gosto de Você, Samba da Madrugada e Eu Quero Alguém. "	1964-02-23	1964-02-23	Diário de Pernambuco	2º Caderno	7	
	Jantar de gala	Apresentou-se em jantar de gala no Pará oferecido pelo governador do estado.	"Sebastião Tapajós apresentou músicas do compositor paraense Waldemar Henrique no Jantar de despedida do grupo ""Companheiros da Aliança do Missouri"". Grupo de empresários dos Estados Unidos, incluindo um representante da USAID que visitaram o Estado do Pará. O Jantar foi oferecido pelo Governador Alacid Nunes, na sede do Clube Tuna Luso Comercial, com a presença do prefeito Stélio Maroja, o vice Ajax Oliveira, o reitor Silveira Neto e do Consul Americano Melvin Levitsky."	1966-07-06	1966-07-07	Correio da Manhã	1º Caderno	5	
	Estudo na Europa	Participou de concertos em Lisboa em 1964 e frequentou em Madri, o curso de guitarra hispânica tendo como professor Emílio Pujol.	Em 1964 viaja para a Europa onde se forma pelo Conservatório Nacional de Música de Lisboa, participou de concertos e estudou Guitarra Hispânica em Madrid tendo como professor o famoso violonista Emilio Pujol, um dos melhores instrumentistas no mundo na época.	1964-12-31	1968-06-02	Diário de Notícias	2ª Seção	2	
	Volta para Belém	Trabalho como Professor	Volta para Belém onde passa a dar aulas no Conservatório Musical Carlos Gomes e apresentar-se em Belém	1965-01-01	1965-01-01	Editor	Familiares		
	Recital em Nova York	Apresentou-se em Nova Iorque	Apresentou-se em um recital em Nova Iorque e volta para Belém, onde continua a ministrar aulas no Conservatório Carlos Gomes por um ano.	1966-01-01	1966-01-01				
	Marajó, Barreira do Mar	"Lançamento do filme ""Marajó, Barreira do Mar"""	"Lançamento do Filme ""Marajó, Barreira do Mar"" de Líbero Luxardo, onde Sebastião Tapajós assina a trilha musical"	1967-06-04	1967-06-04	Diário de Notícias	4ª Seção	5	imagem-008.jpg
